policy,avg_forum_novelty,avg_answer_rate,avg_novelty_factor,S_T,minC,overload_time,avg_choice,avg_answered,W,U,regime,x
uniform,0.5,0.1,0.825,32.49320295161642,0.85,8.0,0.021976177530020072,0.0021976177530020078,22.02026241985495,7.053566291640114e-05,stable,0.1
uniform,0.5,0.2,0.825,32.31001851317785,0.85,8.0,0.04073152353963984,0.008146304707927968,22.087054728913714,0.000897129629270862,stable,0.2
uniform,0.5,0.30000000000000004,0.825,31.851928647628636,0.85,8.0,0.0753764872987776,0.022612946189633287,22.26361150715627,0.0067441957257810105,stable,0.3
uniform,0.5,0.4,0.825,30.843651320121463,0.85,7.0,0.13468114093763797,0.05387245637505519,22.656009223547308,0.038210484987915475,stable,0.4
uniform,0.5,0.5,0.825,28.97393393313097,0.85,7.0,0.22283501841900719,0.11141750920950359,23.363383591252862,0.1645015427778028,stable,0.5
uniform,0.5,0.6,0.825,26.154079739701572,0.85,6.0,0.3295277748068344,0.1977166648841006,24.332357095170778,0.5226430583285923,stable,0.6
uniform,0.5,0.7000000000000001,0.825,22.712038889625607,0.85,5.0,0.43275604712198856,0.302929232985392,25.285983492086245,1.239532864825961,stable,0.7
uniform,0.5,0.8,0.825,19.121038007662733,0.85,5.0,0.5157118025869227,0.41256944206953816,25.889179864030616,2.326185997437974,stable,0.8
uniform,0.5,0.9,0.825,15.705796657808257,0.85,4.0,0.5742013097410746,0.5167811787669672,25.92636340263126,3.6961461038009933,stable,0.9
uniform,0.5,0.1,0.825,13.778944975277398,0.0,40.0,0.019514478053124167,0.001951447805312417,22.005596443933477,5.670074483010118e-05,mid,0.1
uniform,0.5,0.2,0.825,13.881930596336256,0.0,40.0,0.03209574406871513,0.006419148813743028,22.026251296547194,0.0005636720724818448,mid,0.2
uniform,0.5,0.30000000000000004,0.825,14.066955300685118,0.0,40.0,0.053527574423455536,0.016058272327036667,22.08218539975308,0.0033969476824187578,mid,0.3
uniform,0.5,0.4,0.825,14.448694706555054,0.0,40.0,0.0897913504037849,0.035916540161513966,22.217750864456775,0.016792934315670256,mid,0.4
uniform,0.5,0.5,0.825,15.644872647995163,0.0,40.0,0.15066525305973902,0.07533262652986951,22.538829490792004,0.07377183071465546,mid,0.5
uniform,0.5,0.6,0.825,19.602370135775335,0.47618298553141253,40.0,0.24635678571386882,0.14781407142832131,23.25360228111703,0.28509779477941355,mid,0.6
uniform,0.5,0.7000000000000001,0.825,20.20787401433246,0.5359230266510729,23.0,0.35858850040674783,0.25101195028472356,24.271571507443294,0.8343640007454383,mid,0.7
uniform,0.5,0.8,0.825,17.89310815020183,0.5566302917607496,17.0,0.45194246806945254,0.36155397445556203,25.001798172860298,1.7594631883738372,mid,0.8
uniform,0.5,0.9,0.825,15.091294355022294,0.5676131913461426,13.0,0.5203342557133244,0.4683008301419919,25.20583749017389,2.995254144795309,mid,0.9
uniform,0.5,0.1,0.825,6.9277521331430645,0.0,40.0,0.01583035409859767,0.001583035409859767,21.987142437097013,3.856424180148983e-05,collapse,0.1
uniform,0.5,0.2,0.825,6.910887034045891,0.0,40.0,0.020904014886654672,0.004180802977330934,21.96883449547981,0.000244849772669451,collapse,0.2
uniform,0.5,0.30000000000000004,0.825,6.883614972942211,0.0,40.0,0.02785127656676741,0.008355382970030223,21.94268922532017,0.0009178941168319933,collapse,0.3
uniform,0.5,0.4,0.825,6.840570031223186,0.0,40.0,0.037299483397485275,0.01491979335899411,21.905233902312055,0.0028229827698300217,collapse,0.4
uniform,0.5,0.5,0.825,6.774456470440056,0.0,40.0,0.04995889812140223,0.024979449060701115,21.85141045274146,0.007798138528202618,collapse,0.5
uniform,0.5,0.6,0.825,6.676278429607089,0.0,40.0,0.06649559885902354,0.03989735931541412,21.77391185806481,0.019892189293483725,collapse,0.6
uniform,0.5,0.7000000000000001,0.825,6.53656164089011,0.0,40.0,0.08729859892788953,0.06110901924952268,21.662487638736096,0.04703220460576049,collapse,0.7
uniform,0.5,0.8,0.825,6.347764787286005,0.0,40.0,0.11219631581422122,0.08975705265137698,21.503663986713015,0.10251074374395809,collapse,0.8
uniform,0.5,0.9,0.825,6.1071453884414,0.0,40.0,0.1402855409413855,0.12625698684724695,21.281616228174506,0.20470200424527882,collapse,0.9
